Time	Iteration	AverageReturn	StdReturn	MaxReturn	MinReturn	EpLenMean	EpLenStd	TimestepsThisBatch	TimestepsSoFar
216.54406690597534	0	-190.50145	49.66852	-49.355797	-358.19363	151.0	0.0	30049	30049
431.3904507160187	1	-110.284	39.370083	-11.084942	-229.39699	151.0	0.0	30049	60098
644.8903412818909	2	-86.560486	36.70049	-2.3723288	-233.29681	151.0	0.0	30049	90147
851.6770730018616	3	-82.52351	34.1378	42.265945	-165.26309	151.0	0.0	30049	120196
1060.2338206768036	4	-76.39704	29.519575	7.6797485	-186.00694	151.0	0.0	30049	150245
1265.031165599823	5	-69.589325	25.061214	-13.441151	-150.44049	151.0	0.0	30049	180294
1478.957177400589	6	-63.71088	25.603743	13.678612	-141.00714	151.0	0.0	30049	210343
1700.3697218894958	7	-58.603603	25.474718	7.0323896	-156.05923	151.0	0.0	30049	240392
1921.1389062404633	8	-55.081364	27.534138	31.902473	-180.14005	151.0	0.0	30049	270441
2155.481212615967	9	-52.470203	24.978825	9.850357	-136.42233	151.0	0.0	30049	300490
2373.5067846775055	10	-48.31838	23.986917	27.534544	-151.7637	151.0	0.0	30049	330539
2595.4719433784485	11	-46.100994	27.423227	31.43824	-143.25241	151.0	0.0	30049	360588
2816.912818670273	12	-44.20868	23.853632	29.886543	-136.51021	151.0	0.0	30049	390637
3032.710923433304	13	-38.67694	24.31925	40.10384	-121.16106	151.0	0.0	30049	420686
3247.0164663791656	14	-40.22244	27.382284	39.070217	-140.90198	151.0	0.0	30049	450735
3458.2252292633057	15	-34.18441	23.026289	25.40765	-102.11062	151.0	0.0	30049	480784
3667.4895424842834	16	-30.465727	21.591076	25.981731	-134.35162	151.0	0.0	30049	510833
3878.338523864746	17	-27.718641	21.98552	29.762373	-109.19241	151.0	0.0	30049	540882
4094.2285509109497	18	-23.522476	20.328144	35.97512	-95.4861	151.0	0.0	30049	570931
4309.549906015396	19	-22.588694	17.429943	16.053757	-96.38935	151.0	0.0	30049	600980
4521.809874534607	20	-20.073664	17.560883	17.254322	-91.77537	151.0	0.0	30049	631029
4730.610378503799	21	-18.065817	14.121948	21.300842	-57.424477	151.0	0.0	30049	661078
4943.486256122589	22	-16.564032	14.171217	18.256598	-51.38581	151.0	0.0	30049	691127
5156.382808208466	23	-15.017397	13.121729	15.866883	-60.59102	151.0	0.0	30049	721176
5374.692596435547	24	-11.716759	13.854008	21.54551	-56.748505	151.0	0.0	30049	751225
5591.939438819885	25	-9.000214	15.3908415	47.86898	-55.971268	151.0	0.0	30049	781274
5805.32984662056	26	-2.02699	13.638563	40.36693	-50.12914	151.0	0.0	30049	811323
6015.976847171783	27	3.5413852	13.409563	36.550503	-42.945625	151.0	0.0	30049	841372
6233.882480621338	28	7.161285	14.736424	39.425636	-44.65422	151.0	0.0	30049	871421
6450.439706325531	29	11.205755	19.400913	55.6816	-56.86097	151.0	0.0	30049	901470
6667.611972808838	30	18.506254	19.71843	59.65464	-51.424572	151.0	0.0	30049	931519
6882.898076534271	31	23.371628	19.931105	62.304283	-56.748154	151.0	0.0	30049	961568
7096.026480913162	32	28.234955	20.816294	65.21587	-63.586338	151.0	0.0	30049	991617
7306.912104845047	33	32.92744	17.443718	74.34349	-55.227875	151.0	0.0	30049	1021666
