,Itr,ReturnAvg,ReturnStd,ReturnMin,ReturnMax,TrainingLossStart,TrainingLossFinal
0,-1,-155.31057875234572,44.138779429334804,-224.20472459094208,-81.73449771838165,,
1,0,25.02986173346405,42.11460992546478,-15.176935052022346,82.58789762978103,1.0340549945831299,0.03518092259764671
2,1,127.62819418790227,28.287042652771046,84.86788263820988,152.76407261409605,0.041176456958055496,0.02011762000620365
3,2,117.71192840954684,23.686240287687163,83.24716219550817,146.87119010797312,0.02367388643324375,0.01837279461324215
4,3,176.58326289299208,23.7454593686467,147.09195973815184,204.83559587941494,0.02053370140492916,0.014251054264605045
5,4,157.15142617355164,14.83504848943743,141.6942264411957,175.89207712558,0.017487438395619392,0.011806498281657696
6,5,205.88101282560274,27.787479376708454,160.58120803530846,241.99786565920425,0.013354877009987831,0.012144957669079304
7,6,218.27094662289673,33.290411762658564,172.8069284404179,264.73636732532907,0.01290823519229889,0.010693907737731934
8,7,207.83063447409896,14.880646461466158,186.58058891663904,226.1776831853835,0.01081814430654049,0.010864367708563805
9,8,257.2039242131721,29.92436807353483,205.46214614153064,297.73358774782855,0.008939151652157307,0.01144295185804367
10,9,258.2644008131641,43.11159311307697,203.69897583855413,310.1208819186711,0.010995080694556236,0.00939542893320322
11,10,309.44112642323296,24.07368591050405,290.15294286757893,355.7971562056226,0.007483294699341059,0.011668548919260502
