,Itr,ReturnAvg,ReturnStd,ReturnMin,ReturnMax,TrainingLossStart,TrainingLossFinal
0,-1,-135.45310927639068,39.41659122635606,-193.64598121145224,-57.36180186584059,,
1,0,22.918695684983057,38.58886346999493,-44.467001249840045,66.19175383338043,1.035495400428772,0.029900390654802322
2,1,99.80884538396126,35.45934008769709,45.63680369035317,149.04290315407258,0.031905580312013626,0.021755460649728775
3,2,118.09778203475415,22.884681080567496,85.05093248082673,156.24050329170728,0.0252221766859293,0.015031174756586552
4,3,196.39793059150875,28.645089025096492,163.19965636625324,248.2657105281674,0.016258707270026207,0.010297100991010666
5,4,175.8402868819977,18.378047605547728,142.9407672536499,199.3975979389869,0.01584651879966259,0.011163834482431412
6,5,171.71964503856574,42.17827731744123,111.6991506918009,236.89753210369835,0.013309058733284473,0.011518399231135845
7,6,237.0025537577199,23.084897262608965,207.62811574006224,272.5842087380495,0.010597096756100655,0.011119412258267403
8,7,247.12687558323915,25.491591250149828,221.01518841842906,291.6754261283655,0.010660476982593536,0.011634849943220615
9,8,240.9743434255457,21.158878875734832,208.0863763092339,271.77240590484746,0.012042788788676262,0.009226888418197632
10,9,257.54232441332067,71.67799844609137,156.52573932248856,335.9811705767319,0.009546563029289246,0.008111960254609585
11,10,254.2324284459521,27.429169443965904,219.83828071667097,300.87789042058046,0.007731449790298939,0.0068059819750487804
