Name,AVGReturn,STD,NRoll,TSteps,Epochs,Batch_size,DAggerIters
Humanoid-v2,6577.700774735566,4251.5520188955015,20,1000,1000,64,1
Humanoid-v2,9607.350068873151,2029.5512849262423,20,1000,1000,64,2
Humanoid-v2,10393.364095865909,84.64293011373343,20,1000,1000,64,3
Humanoid-v2,10459.958210762117,49.95596022334055,20,1000,1000,64,4
Humanoid-v2,10344.29764575774,58.38460352845217,20,1000,1000,64,5
Humanoid-v2,10287.426964459777,506.0850543070204,20,1000,1000,64,6
Humanoid-v2,10014.676370036774,1763.9494617241853,20,1000,1000,64,7
Humanoid-v2,9906.519053852415,2092.182987446269,20,1000,1000,64,8
Humanoid-v2,9918.467125640089,2108.3715949351413,20,1000,1000,64,9
Humanoid-v2,10335.643093636343,46.68007775439068,20,1000,1000,64,10
