Name,AVGReturn,STD,NRoll,TSteps,Epochs,Batch_size,DAggerIters
Reacher-v2,-5.572374801879733,2.426822372043072,20,50,1000,64,1
Reacher-v2,-4.548836870730406,2.139680993441865,20,50,1000,64,2
Reacher-v2,-3.9836704737043815,1.6090484913373873,20,50,1000,64,3
Reacher-v2,-4.240935740909654,1.6194701876701005,20,50,1000,64,4
Reacher-v2,-4.110810183510369,1.6491847867294387,20,50,1000,64,5
Reacher-v2,-4.18863748393534,1.9756491621058023,20,50,1000,64,6
Reacher-v2,-4.130704517018545,1.6096252925569066,20,50,1000,64,7
Reacher-v2,-3.8979779048185663,1.919437694880227,20,50,1000,64,8
Reacher-v2,-4.097055050967324,1.7385440135316104,20,50,1000,64,9
Reacher-v2,-3.8702665629002517,1.5577289763370952,20,50,1000,64,10
