Name,AVGReturn,STD,NRoll,TSteps
HalfCheetah-v2,4147.116210648607,0.0,1,1000
HalfCheetah-v2,4141.517471768876,29.28394112361483,5,1000
HalfCheetah-v2,4157.768574490889,78.53493011516146,10,1000
HalfCheetah-v2,4158.396199038902,72.25433231405779,15,1000
HalfCheetah-v2,4149.462380100993,93.2181409961781,20,1000
HalfCheetah-v2,4143.717312757992,75.98337964056408,25,1000
HalfCheetah-v2,4127.171999714249,77.78585713232354,50,1000
HalfCheetah-v2,4137.3787067942085,82.39453277867287,75,1000
HalfCheetah-v2,4145.44041144392,82.03196054457993,100,1000
