Name,AVGReturn,STD,NRoll,TSteps
Ant-v2,4841.741575788916,0.0,1,1000
Ant-v2,4833.98278551165,63.99617314486994,5,1000
Ant-v2,4817.706526289996,82.52083360411115,10,1000
Ant-v2,4798.235995612253,83.7336835516635,15,1000
Ant-v2,4718.221523167844,493.1653417965935,20,1000
Ant-v2,4809.676492539281,119.18201885176998,25,1000
Ant-v2,4820.672017846505,110.45779371696212,50,1000
Ant-v2,4819.428889989796,103.80858780936404,75,1000
Ant-v2,4772.887496943068,343.87131307856686,100,1000
