Name,AVGReturn,STD,NRoll,TSteps
Reacher-v2,-3.7092816600520453,0.0,1,50
Reacher-v2,-2.388245839717436,1.0694971368533839,5,50
Reacher-v2,-3.9852907480125856,0.5363759359408182,10,50
Reacher-v2,-4.302215977663623,2.2070191850820304,15,50
Reacher-v2,-3.459534105806332,1.4104013741523065,20,50
Reacher-v2,-4.247531209553681,1.5255985906128906,25,50
Reacher-v2,-4.06918764297499,1.9221372952524067,50,50
Reacher-v2,-4.390910894721798,1.9183636812538747,75,50
Reacher-v2,-3.6567111029978587,1.6772920949990875,100,50
