Name,AVGReturn,STD,NRoll,TSteps,Epochs,Batch_size,DAggerIters
Humanoid-v2,398.7948800044046,26.404732947366583,20,1000,1000,64,1
Humanoid-v2,245.12400759004763,5.493547230899894,20,1000,1000,64,2
Humanoid-v2,246.41033949135903,9.601686640975052,20,1000,1000,64,3
Humanoid-v2,283.6505084326973,7.577919295458558,20,1000,1000,64,4
Humanoid-v2,304.3462252464048,20.411994962647324,20,1000,1000,64,5
Humanoid-v2,198.8072678508566,6.575177214415511,20,1000,1000,64,6
Humanoid-v2,243.53857776605045,8.553874868146334,20,1000,1000,64,7
Humanoid-v2,288.27051574470977,9.515096691566177,20,1000,1000,64,8
Humanoid-v2,324.33081241726063,9.380891356215816,20,1000,1000,64,9
Humanoid-v2,473.84038002778397,48.635879304795786,20,1000,1000,64,10
