Name,AVGReturn,STD,NRoll,TSteps,Epochs,Batch_size,DAggerIters
Walker2d-v2,5520.615536781156,69.13961049551428,20,1000,1000,64,1
Walker2d-v2,5281.627787351598,852.3868843956601,20,1000,1000,64,2
Walker2d-v2,5378.49271104332,131.37778467009062,20,1000,1000,64,3
Walker2d-v2,5526.223637944035,54.25463446375843,20,1000,1000,64,4
Walker2d-v2,5162.750806620757,748.8287390963851,20,1000,1000,64,5
Walker2d-v2,5541.941792466312,67.9018008823106,20,1000,1000,64,6
Walker2d-v2,5126.942769648727,969.9633459887797,20,1000,1000,64,7
Walker2d-v2,5470.129332686316,68.70552719273378,20,1000,1000,64,8
Walker2d-v2,5481.354265873319,59.58213508340027,20,1000,1000,64,9
Walker2d-v2,5494.920526948581,79.66549948112099,20,1000,1000,64,10
