Name,AVGReturn,STD,NRoll,TSteps,Epochs,Batch_size
Ant-v2,4792.358898256613,0.0,1,1000,1000,64
Ant-v2,4834.910206387937,38.16121094744525,5,1000,1000,64
Ant-v2,4810.260076930846,87.26943045148423,10,1000,1000,64
Ant-v2,4800.533519846343,91.35538522928908,15,1000,1000,64
Ant-v2,4719.246219694238,352.9596697211254,20,1000,1000,64
Ant-v2,4782.605004705605,115.39319105305177,25,1000,1000,64
Ant-v2,4772.79971994161,315.955497533953,50,1000,1000,64
Ant-v2,4711.1351609024005,565.8721876881503,75,1000,1000,64
Ant-v2,4792.40739481342,279.4335242042685,100,1000,1000,64
