Name,AVGReturn,STD,NRoll,TSteps,Epochs,Batch_size,DAggerIters
Ant-v2,4774.524855186575,95.46486410043163,20,1000,1000,64,1
Ant-v2,4761.3317990569,342.22642901293085,20,1000,1000,64,2
Ant-v2,4614.943205044682,819.7711882150527,20,1000,1000,64,3
Ant-v2,4772.925708583278,90.8803466180952,20,1000,1000,64,4
Ant-v2,4809.574066953517,110.87742819181437,20,1000,1000,64,5
Ant-v2,4856.729348302134,84.92725423021375,20,1000,1000,64,6
Ant-v2,4849.392848246338,114.10951880942002,20,1000,1000,64,7
Ant-v2,4729.982874744615,110.98351125826993,20,1000,1000,64,8
Ant-v2,4808.596584724486,82.02593426954316,20,1000,1000,64,9
Ant-v2,4797.254305831603,141.53624661032214,20,1000,1000,64,10
