Name,AVGReturn,STD,NRoll,TSteps
Hopper-v2,3778.774101918119,0.0,1,1000
Hopper-v2,3776.7012368217556,3.2114774822757086,5,1000
Hopper-v2,3775.0938321106564,3.5067359643572753,10,1000
Hopper-v2,3777.7735006495236,2.7400063785069513,15,1000
Hopper-v2,3778.748284088687,5.086377738228173,20,1000
Hopper-v2,3778.6732735025867,2.4826377359992002,25,1000
Hopper-v2,3777.0248129352085,3.810921750275803,50,1000
Hopper-v2,3777.439926625851,3.871595932536331,75,1000
Hopper-v2,3777.5410520950927,3.6176529476544217,100,1000
