Name,AVGReturn,STD,NRoll,TSteps,Epochs,Batch_size,DAggerIters
Hopper-v2,3198.487539549838,691.3724063605853,20,1000,1000,64,1
Hopper-v2,3775.3452871689215,2.849928452071902,20,1000,1000,64,2
Hopper-v2,3777.9038186323864,3.5089975978114656,20,1000,1000,64,3
Hopper-v2,3778.278645334248,2.820352308321955,20,1000,1000,64,4
Hopper-v2,3776.633574799198,5.985224827128307,20,1000,1000,64,5
Hopper-v2,3778.540003539964,3.979382127842599,20,1000,1000,64,6
Hopper-v2,3777.6576044374924,5.010799900378632,20,1000,1000,64,7
Hopper-v2,3777.3454140481967,3.7679068656208496,20,1000,1000,64,8
Hopper-v2,3777.882733807932,3.252924330084986,20,1000,1000,64,9
Hopper-v2,3777.708450647445,3.5073830657893517,20,1000,1000,64,10
