Name,AVGReturn,STD,NRoll,TSteps,Epochs,Batch_size
Walker2d-v2,2275.445648264096,0.0,1,1000,1000,64
Walker2d-v2,5515.880187405131,48.36026191301195,5,1000,1000,64
Walker2d-v2,5520.120764356125,40.326096459237455,10,1000,1000,64
Walker2d-v2,5497.616110113366,43.26924029604306,15,1000,1000,64
Walker2d-v2,5487.3914722962745,104.5132460193545,20,1000,1000,64
Walker2d-v2,5485.207214378024,59.76527326160775,25,1000,1000,64
Walker2d-v2,5508.333030283505,47.26776367853148,50,1000,1000,64
Walker2d-v2,5502.476405797619,76.37052641694598,75,1000,1000,64
Walker2d-v2,5047.534390277398,967.6092842463075,100,1000,1000,64
