,Itr,ReturnAvg,ReturnStd,ReturnMin,ReturnMax,TrainingLossStart,TrainingLossFinal
0,-1,-159.82737242400523,29.949576908877493,-193.46874826501036,-95.99549313755779,,
1,0,-38.861175979366145,22.278575540295062,-73.99337282114297,-16.591182282543144,0.957894504070282,0.033748213201761246
2,1,96.8240463622697,18.98902972524654,66.59887349653721,121.58227069422013,0.03759211301803589,0.0209425687789917
3,2,91.00284916232874,27.149157096097124,47.04000198510148,130.88346478878964,0.02204764448106289,0.015715360641479492
4,3,136.86511901257086,41.21317688295043,97.203628159684,209.24265038182355,0.01687573455274105,0.01365351676940918
5,4,150.13565880333263,40.404081780720816,116.23002998437059,214.95115978242632,0.012920564040541649,0.011559663340449333
6,5,190.2870082129109,26.369908608703536,158.64483673765722,226.13915534759633,0.012048320844769478,0.010768958367407322
7,6,208.73843411966737,41.89303319712997,139.06774393490537,253.14232232361383,0.01141112856566906,0.00845622830092907
8,7,219.71210989501074,42.05089137112085,175.74225603223627,291.6414635787171,0.009902249090373516,0.009235138073563576
9,8,221.116430247462,45.899557498261814,139.3892204401315,277.862072028394,0.008994324132800102,0.008527491241693497
10,9,242.73505184612992,30.567025751774946,209.3809391899744,284.42687825101643,0.008967064321041107,0.009024001657962799
11,10,207.70997125947133,24.56524692630934,164.45564169011914,233.42632723400877,0.00916768703609705,0.006991998758167028
