,Itr,ReturnAvg,ReturnStd,ReturnMin,ReturnMax,TrainingLossStart,TrainingLossFinal
0,-1,-157.83185481767447,41.25562085978523,-236.68097892904302,-108.14768024309905,,
1,0,3.4208594962775853,16.856198913832145,-17.300769573533508,26.748403784972325,1.0091053247451782,0.0316031277179718
2,1,127.34368795194487,26.712793333309655,96.59728902371063,171.18900648757915,0.04206099361181259,0.027111271396279335
3,2,171.146721304614,34.312832925003086,126.14672939086574,222.0702322794644,0.026760052889585495,0.01899317093193531
4,3,187.37031808414378,28.274786782547544,156.35144229238026,227.42960283930154,0.02324105240404606,0.017324184998869896
5,4,235.22651052877555,11.428655189865593,223.9356486581433,255.87344830594645,0.017192412167787552,0.012172142043709755
6,5,268.0507234431805,53.048406813969194,184.4293948087503,345.15034774365324,0.012701106257736683,0.016823692247271538
7,6,344.6057288296738,57.154141803956925,278.4762654254697,425.5383677519194,0.01712602749466896,0.008030426688492298
8,7,322.1503386490949,21.04608979297491,290.9884610747599,345.97438417038074,0.012807311490178108,0.008911164477467537
9,8,382.72861381686056,52.82195684274429,304.90127437269416,449.0715418514495,0.010781308636069298,0.010254979133605957
10,9,404.97743389332874,38.03390596973375,335.4631786515094,449.9526022872775,0.00966451782733202,0.008725989609956741
11,10,320.08736912074227,34.92126887818479,272.6604858767171,355.7754131734721,0.008205501362681389,0.010987667366862297
