,Itr,ReturnAvg,ReturnStd,ReturnMin,ReturnMax,TrainingLossStart,TrainingLossFinal
0,-1,-162.31268212199402,24.61081043374442,-195.474087155103,-129.45281672852678,,
1,0,17.00646111064425,24.88165420510316,-14.615037202934754,54.0755490261824,1.0303680896759033,0.03564738109707832
2,1,68.20364419092864,26.336601840557545,24.66540278184453,105.44152694586387,0.0387720987200737,0.01887335069477558
3,2,109.45688078654727,22.76261436366319,74.02008425358486,135.32671773801349,0.023873010650277138,0.015112234279513359
4,3,147.93155304296334,21.113732322981893,121.30578638621351,170.83716391891443,0.017938992008566856,0.013786920346319675
5,4,143.95730598484997,40.21788122033157,98.70122896355177,218.7941401390072,0.013425575569272041,0.00959400087594986
6,5,247.37769569978755,38.69665073547198,208.17982508232342,312.4618630009196,0.011502174660563469,0.009804793633520603
7,6,252.0741393379501,20.513235090164923,218.01751354473265,282.5192119265575,0.009914173744618893,0.014239305630326271
8,7,246.56934828733347,44.33860120891275,196.41028347756327,324.8970483965643,0.010240746662020683,0.008713114075362682
9,8,300.3681342547594,35.81491924333033,246.9972929785044,350.7722852479075,0.008378402329981327,0.00794959906488657
10,9,239.9299630031068,61.3266890577563,154.6904187333629,305.64596214523476,0.007962931878864765,0.008368173614144325
11,10,326.2020885683807,45.688436175903036,258.70393140614823,373.33759315036923,0.006947656162083149,0.007235987577587366
