,Itr,ReturnAvg,ReturnStd,ReturnMin,ReturnMax,TrainingLossStart,TrainingLossFinal
0,-1,-173.63887225762474,30.280065613464977,-219.4786151535699,-130.91563308065852,,
1,0,-38.11216427933589,14.763161808694289,-58.86990824496325,-20.454419001566322,1.006178617477417,0.024393238127231598
2,1,4.410084984277697,20.59982988503139,-32.97215964548739,28.19504342930378,0.03309091925621033,0.016449663788080215
3,2,30.285668430661882,24.119881409777687,-16.04463477651984,51.59979975925441,0.018591493368148804,0.01175058912485838
4,3,50.09409098341463,36.078117776133126,17.339129295453873,120.46205739775552,0.014294134452939034,0.008284286595880985
5,4,61.1110603642302,27.841312445763844,28.489030037402564,107.73425535536197,0.01151192095130682,0.009694257751107216
6,5,73.56892009310188,31.27901685481419,40.736316174729794,128.95255897606586,0.00951690785586834,0.0087099839001894
7,6,85.72046182357553,27.047221628801093,46.18262629546712,120.34324242839656,0.008497506380081177,0.006609626114368439
8,7,70.86397729153938,21.059441315328804,37.81625647137504,102.3647594267776,0.009171386249363422,0.0065553090535104275
9,8,77.23606780985655,14.922941139656762,57.838307631487154,100.59898900764892,0.007696323096752167,0.006427133455872536
10,9,78.6761511235941,24.11692455347081,42.31572478748684,112.54976701681244,0.007061352487653494,0.004980294965207577
11,10,76.66277486531509,26.13209060118204,47.82125498533317,124.97083619060034,0.004723287187516689,0.004765165504068136
